iter	RMSE
353	586.1757002
354	586.0680764
355	585.9962842
356	585.8902793
357	585.6319311
358	585.534603
359	585.3923354
360	585.1815931
361	585.1000147
362	584.9994343
363	584.8854726
364	584.8072829
365	584.6820656
366	584.6295482
367	584.5697146
368	584.4874022
369	584.2667148
370	584.2092238
371	584.1160654
372	584.0525366
373	583.9697835
374	583.9045934
375	583.8252707
376	583.7672615
377	583.6989408
378	583.6319404
379	583.5673672
380	583.4367963
381	583.3670919
382	583.2263617
383	583.1678086
384	583.0812874
385	582.9396128
386	582.8100417
387	582.6871691
388	582.6155646
389	582.4378796
390	582.3894543
391	582.2913519
392	582.2105572
393	582.0827468
394	581.9443931
395	581.8980891
396	581.8002602
397	581.6858921
398	581.6254709
399	581.5786147
400	581.5149372
401	581.4550082
402	581.4032969
403	581.2865263
404	581.1146148
405	581.0511394
406	580.9583279
407	580.8571502
408	580.8055462
409	580.7436651
410	580.6207154
411	580.537468
412	580.3816927
413	580.3443979
414	580.2374504
415	580.1304721
416	580.0169857
417	579.9312155
418	579.8330808
419	579.7874062
420	579.695381
421	579.6377352
422	579.5851398
423	579.5114381
424	579.4408289
425	579.3346071
426	579.2189165
427	579.1635188
428	579.0965016
429	579.0401277
430	578.9920095
431	578.9327227
432	578.8607526
433	578.7719011
434	578.6759522
435	578.5972771
436	578.5504593
437	578.4662932
438	578.4073079
439	578.3211423
440	578.1808577
441	578.1146225
442	578.0574425
443	577.9990476
444	577.9312239
445	577.8715951
446	577.7244899
447	577.6420486
448	577.5665773
449	577.5049769
450	577.4365283
451	577.3723299
452	577.3271707
453	577.238572
454	577.1225461
455	577.0607091
456	577.0170804
457	576.9559816
458	576.8874441
459	576.8269351
460	576.7761431
461	576.6147677
462	576.5544407
463	576.5018725
464	576.4406268
465	576.2509449
466	576.1724248
467	576.0955393
468	576.0268338
469	575.9662332
470	575.8547787
471	575.8059676
472	575.6996665
473	575.6560254
474	575.5940967
475	575.5381084
476	575.4663262
477	575.4058937
478	575.3687951
479	575.3191766
480	575.2943843
481	575.2264659
482	575.1743455
483	575.0431242
484	574.9701628
485	574.92055
486	574.8642621
487	574.7970378
488	574.7367696
489	574.6886364
490	574.6168912
491	574.5553743
492	574.521992
493	574.4827156
494	574.4645345
495	574.4136819
496	574.3938802
497	574.3652955
498	574.3357303
499	574.2329193
